From	To
P52907	9606.ENSP00000263168
P52926	9606.ENSP00000384026
P53004	9606.ENSP00000265523
P53041	9606.ENSP00000012443
P53367	9606.ENSP00000296557
P53384	9606.ENSP00000283027
P53396	9606.ENSP00000253792
P53582	9606.ENSP00000296411
P53597	9606.ENSP00000377446
P53618	9606.ENSP00000249923
P53621	9606.ENSP00000357048
P53634	9606.ENSP00000227266
P53801	9606.ENSP00000328325
P53992	9606.ENSP00000321845
P53999	9606.ENSP00000265073
P54105	9606.ENSP00000433919
P54136	9606.ENSP00000231572
P54577	9606.ENSP00000362576
P54578	9606.ENSP00000261601
P54652	9606.ENSP00000247207
P54687	9606.ENSP00000443459
P54709	9606.ENSP00000286371
P54725	9606.ENSP00000467024
P54727	9606.ENSP00000350708
P54819	9606.ENSP00000346921
P54886	9606.ENSP00000360268
P54920	9606.ENSP00000263354
P55010	9606.ENSP00000216554
P55036	9606.ENSP00000357879
P55060	9606.ENSP00000262982
P55072	9606.ENSP00000351777
P55084	9606.ENSP00000325136
P55145	9606.ENSP00000432799
P55157	9606.ENSP00000265517
P55209	9606.ENSP00000261182
P55263	9606.ENSP00000286621
P55285	9606.ENSP00000265071
P55327	9606.ENSP00000368391
P55735	9606.ENSP00000312122
P55786	9606.ENSP00000320324
P55795	9606.ENSP00000361927
P55809	9606.ENSP00000196371
P55854	9606.ENSP00000330343
P55884	9606.ENSP00000354125
P55957	9606.ENSP00000318822
P56192	9606.ENSP00000262027
P56199	9606.ENSP00000282588
P56211	9606.ENSP00000249822
P56537	9606.ENSP00000363559
P56545	9606.ENSP00000311825
P57076	9606.ENSP00000290155
P58215	9606.ENSP00000264094
P58546	9606.ENSP00000376800
P59998	9606.ENSP00000388169
P60033	9606.ENSP00000263645
P60174	9606.ENSP00000229270
P60228	9606.ENSP00000220849
P60468	9606.ENSP00000223641
P60660	9606.ENSP00000446714
P60709	9606.ENSP00000349960
P60842	9606.ENSP00000293831
P60866	9606.ENSP00000429374
P60891	9606.ENSP00000361512
P60900	9606.ENSP00000261479
P60903	9606.ENSP00000357799
P60953	9606.ENSP00000314458
P60981	9606.ENSP00000246069
P60983	9606.ENSP00000350757
P61006	9606.ENSP00000300935
P61011	9606.ENSP00000216774
P61019	9606.ENSP00000262646
P61020	9606.ENSP00000353444
P61026	9606.ENSP00000264710
P62837	9606.ENSP00000381717
P61081	9606.ENSP00000253023
P61086	9606.ENSP00000261427
P61088	9606.ENSP00000316176
P61106	9606.ENSP00000362946
P61158	9606.ENSP00000263238
P61160	9606.ENSP00000367220
P61163	9606.ENSP00000358921
P61201	9606.ENSP00000299259
P84077	9606.ENSP00000272102
P61221	9606.ENSP00000296577
P61224	9606.ENSP00000250559
P61247	9606.ENSP00000346050
P61254	9606.ENSP00000293842
P61289	9606.ENSP00000293362
P61313	9606.ENSP00000309334
P61326	9606.ENSP00000360525
P61353	9606.ENSP00000253788
P61421	9606.ENSP00000290949
P61513	9606.ENSP00000418082
P61586	9606.ENSP00000400175
P61604	9606.ENSP00000233893
P61758	9606.ENSP00000286428
P61764	9606.ENSP00000362399
P61769	9606.ENSP00000452780
P61803	9606.ENSP00000250498
P61916	9606.ENSP00000451112
P61923	9606.ENSP00000262061
P61960	9606.ENSP00000239878
P61962	9606.ENSP00000308344
P61970	9606.ENSP00000219169
P61978	9606.ENSP00000365439
P61981	9606.ENSP00000306330
P62070	9606.ENSP00000256196
P62081	9606.ENSP00000339095
P62140	9606.ENSP00000296122
P62191	9606.ENSP00000261303
P62195	9606.ENSP00000310572
P62241	9606.ENSP00000379888
P62244	9606.ENSP00000318646
P62249	9606.ENSP00000251453
P62256	9606.ENSP00000347836
P62258	9606.ENSP00000264335
P62263	9606.ENSP00000311028
P62266	9606.ENSP00000296674
P62269	9606.ENSP00000393241
P62273	9606.ENSP00000379339
P62277	9606.ENSP00000435777
P62280	9606.ENSP00000270625
P62304	9606.ENSP00000400591
P62306	9606.ENSP00000266735
P62314	9606.ENSP00000300413
P62316	9606.ENSP00000342374
P62318	9606.ENSP00000215829
P62328	9606.ENSP00000370007
P62330	9606.ENSP00000298316
P62333	9606.ENSP00000401802
P62424	9606.ENSP00000361076
P62495	9606.ENSP00000353741
P62633	9606.ENSP00000410769
P62701	9606.ENSP00000362744
P62750	9606.ENSP00000389103
P62753	9606.ENSP00000369757
P62805	9606.ENSP00000367034
P62820	9606.ENSP00000387286
P62826	9606.ENSP00000376176
P62829	9606.ENSP00000377865
P62841	9606.ENSP00000467676
P62847	9606.ENSP00000414321
P62851	9606.ENSP00000435096
P62854	9606.ENSP00000348849
P62857	9606.ENSP00000472469
P62873	9606.ENSP00000367869
P62877	9606.ENSP00000216225
P62879	9606.ENSP00000305260
P62888	9606.ENSP00000287038
P62899	9606.ENSP00000386717
P62906	9606.ENSP00000363018
P62910	9606.ENSP00000380156
P62913	9606.ENSP00000363676
P62917	9606.ENSP00000262584
P62937	9606.ENSP00000419425
P62942	9606.ENSP00000371138
P62979	9606.ENSP00000272317
P62987	9606.ENSP00000388107
P62993	9606.ENSP00000339007
P62995	9606.ENSP00000416959
P63010	9606.ENSP00000314414
P63098	9606.ENSP00000234310
P63104	9606.ENSP00000309503
P63151	9606.ENSP00000325074
P63165	9606.ENSP00000376076
P63167	9606.ENSP00000242577
P63173	9606.ENSP00000309830
P63208	9606.ENSP00000231487
P63220	9606.ENSP00000345957
P63241	9606.ENSP00000336702
P63244	9606.ENSP00000426909
P63261	9606.ENSP00000331514
P63279	9606.ENSP00000324897
P63313	9606.ENSP00000233143
P67775	9606.ENSP00000418447
P67809	9606.ENSP00000361626
P67870	9606.ENSP00000365025
P68032	9606.ENSP00000290378
P68036	9606.ENSP00000344259
P68104	9606.ENSP00000330054
P68106	9606.ENSP00000370373
P68363	9606.ENSP00000336799
P68371	9606.ENSP00000341289
P68402	9606.ENSP00000435289
P68431	9606.ENSP00000444823
Q5JPE7	9606.ENSP00000370883
P78330	9606.ENSP00000275605
P78344	9606.ENSP00000340281
P78347	9606.ENSP00000322542
P78371	9606.ENSP00000299300
P78417	9606.ENSP00000358727
P78527	9606.ENSP00000313420
P78559	9606.ENSP00000300231
P80188	9606.ENSP00000277480
P80303	9606.ENSP00000436455
P80723	9606.ENSP00000319281
P82979	9606.ENSP00000337632
P83731	9606.ENSP00000377640
P84085	9606.ENSP00000000233
P84090	9606.ENSP00000451080
P84095	9606.ENSP00000339467
P84098	9606.ENSP00000225430
P84103	9606.ENSP00000362820
P84157	9606.ENSP00000348050
P98082	9606.ENSP00000313391
P98095	9606.ENSP00000384169
P98160	9606.ENSP00000363827
P98179	9606.ENSP00000365946
P99999	9606.ENSP00000307786
Q00169	9606.ENSP00000316809
Q00325	9606.ENSP00000228318
Q00341	9606.ENSP00000312042
Q00534	9606.ENSP00000265734
Q00535	9606.ENSP00000419782
Q00577	9606.ENSP00000332706
Q00610	9606.ENSP00000269122
Q00653	9606.ENSP00000358983
Q00688	9606.ENSP00000216330
Q00765	9606.ENSP00000368959
Q00796	9606.ENSP00000267814
Q00839	9606.ENSP00000283179
Q01082	9606.ENSP00000349259
Q01085	9606.ENSP00000358089
Q01105	9606.ENSP00000361777
Q01130	9606.ENSP00000353089
Q01415	9606.ENSP00000453129
Q01433	9606.ENSP00000256578
Q01469	9606.ENSP00000297258
Q01518	9606.ENSP00000361878
Q01581	9606.ENSP00000322706
Q01813	9606.ENSP00000370517
Q01844	9606.ENSP00000400142
Q01995	9606.ENSP00000278968
Q02218	9606.ENSP00000222673
Q02413	9606.ENSP00000257192
Q02543	9606.ENSP00000222247
Q02750	9606.ENSP00000302486
Q02790	9606.ENSP00000001008
Q02809	9606.ENSP00000196061
Q02818	9606.ENSP00000263273
Q02878	9606.ENSP00000202773
Q02952	9606.ENSP00000253332
Q03001	9606.ENSP00000244364
Q03013	9606.ENSP00000358851
Q03135	9606.ENSP00000339191
Q03154	9606.ENSP00000384296
Q03252	9606.ENSP00000462730
Q04206	9606.ENSP00000384273
Q04323	9606.ENSP00000294119
Q04446	9606.ENSP00000410833
Q04637	9606.ENSP00000338020
Q04760	9606.ENSP00000362463
Q04828	9606.ENSP00000370254
Q04837	9606.ENSP00000265304
Q04917	9606.ENSP00000248975
Q04941	9606.ENSP00000365505
Q05086	9606.ENSP00000381045
Q05639	9606.ENSP00000217182
Q05655	9606.ENSP00000331602
Q05682	9606.ENSP00000354826
Q06124	9606.ENSP00000340944
Q06203	9606.ENSP00000264220
Q06210	9606.ENSP00000354347
Q06323	9606.ENSP00000372155
Q06830	9606.ENSP00000262746
Q07020	9606.ENSP00000447001
Q07021	9606.ENSP00000225698
Q07065	9606.ENSP00000367265
Q07666	9606.ENSP00000313829
Q07812	9606.ENSP00000293288
Q07866	9606.ENSP00000414982
Q07954	9606.ENSP00000243077
Q07955	9606.ENSP00000258962
Q07960	9606.ENSP00000310491
Q08209	9606.ENSP00000378323
Q08211	9606.ENSP00000356520
Q08378	9606.ENSP00000204726
Q08379	9606.ENSP00000416097
Q08380	9606.ENSP00000262776
Q08431	9606.ENSP00000268150
Q08752	9606.ENSP00000303754
Q08J23	9606.ENSP00000264670
Q09028	9606.ENSP00000362592
Q09161	9606.ENSP00000364289
Q09666	9606.ENSP00000367263
Q10471	9606.ENSP00000355632
Q10567	9606.ENSP00000350199
Q12768	9606.ENSP00000318016
Q12792	9606.ENSP00000449428
Q12797	9606.ENSP00000368767
Q12841	9606.ENSP00000295633
Q12874	9606.ENSP00000362110
Q12904	9606.ENSP00000378191
Q12905	9606.ENSP00000355011
Q12906	9606.ENSP00000404121
Q12907	9606.ENSP00000303366
Q12974	9606.ENSP00000344909
Q12979	9606.ENSP00000303909
Q13011	9606.ENSP00000221418
Q13045	9606.ENSP00000324573
Q13049	9606.ENSP00000363095
Q13061	9606.ENSP00000381240
Q9UEU5	9606.ENSP00000386110
Q13077	9606.ENSP00000362994
Q13085	9606.ENSP00000344789
Q13098	9606.ENSP00000347251
Q13126	9606.ENSP00000369519
Q13131	9606.ENSP00000346148
Q13144	9606.ENSP00000273783
Q13148	9606.ENSP00000240185
Q13151	9606.ENSP00000316042
Q13153	9606.ENSP00000278568
Q13155	9606.ENSP00000223029
Q13162	9606.ENSP00000368646
Q13177	9606.ENSP00000314067
Q13185	9606.ENSP00000336687
Q13200	9606.ENSP00000310129
Q13217	9606.ENSP00000365991
Q13228	9606.ENSP00000357861
Q13257	9606.ENSP00000296509
Q13263	9606.ENSP00000253024
Q13283	9606.ENSP00000348578
Q13347	9606.ENSP00000362688
Q13363	9606.ENSP00000290921
Q13404	9606.ENSP00000340305
Q13409	9606.ENSP00000380308
Q13418	9606.ENSP00000299421
Q13435	9606.ENSP00000318861
Q13442	9606.ENSP00000222968
Q13451	9606.ENSP00000338160
Q13485	9606.ENSP00000341551
Q13492	9606.ENSP00000377015
Q13501	9606.ENSP00000374455
Q13506	9606.ENSP00000336894
Q13509	9606.ENSP00000320295
Q13510	9606.ENSP00000371152
Q13526	9606.ENSP00000247970
Q13542	9606.ENSP00000362314
Q13557	9606.ENSP00000339740
Q13561	9606.ENSP00000408910
Q13564	9606.ENSP00000290810
Q13572	9606.ENSP00000267615
Q13573	9606.ENSP00000261531
Q13586	9606.ENSP00000300737
Q13596	9606.ENSP00000453785
Q13616	9606.ENSP00000326804
Q13617	9606.ENSP00000444856
Q13620	9606.ENSP00000384109
Q13630	9606.ENSP00000398803
Q13641	9606.ENSP00000358765
Q13642	9606.ENSP00000071281
Q13724	9606.ENSP00000233616
Q13740	9606.ENSP00000305988
Q13813	9606.ENSP00000361824
Q13838	9606.ENSP00000379475
Q13867	9606.ENSP00000261714
Q13868	9606.ENSP00000361433
Q13885	9606.ENSP00000369703
Q13907	9606.ENSP00000370748
Q13938	9606.ENSP00000222125
Q13951	9606.ENSP00000415151
Q14008	9606.ENSP00000432768
Q14011	9606.ENSP00000322887
Q14019	9606.ENSP00000262428
Q14061	9606.ENSP00000261070
Q14103	9606.ENSP00000313199
Q14108	9606.ENSP00000264896
Q14123	9606.ENSP00000379496
Q14126	9606.ENSP00000261590
Q14141	9606.ENSP00000341524
Q14152	9606.ENSP00000358140
Q15052	9606.ENSP00000250617
Q14157	9606.ENSP00000355343
Q14166	9606.ENSP00000216129
Q14192	9606.ENSP00000322909
Q14195	9606.ENSP00000343690
Q14202	9606.ENSP00000322845
Q14203	9606.ENSP00000354791
Q14204	9606.ENSP00000348965
Q14232	9606.ENSP00000416250
Q14240	9606.ENSP00000326381
Q14257	9606.ENSP00000378349
Q14258	9606.ENSP00000323889
Q14314	9606.ENSP00000248598
Q14315	9606.ENSP00000327145
Q14353	9606.ENSP00000403536
Q14376	9606.ENSP00000363621
Q14444	9606.ENSP00000340329
Q14498	9606.ENSP00000253363
Q14554	9606.ENSP00000323313
Q14558	9606.ENSP00000414624
Q14566	9606.ENSP00000264156
Q14651	9606.ENSP00000336831
Q14683	9606.ENSP00000323421
Q14694	9606.ENSP00000219473
Q14696	9606.ENSP00000261758
Q14697	9606.ENSP00000340466
Q14699	9606.ENSP00000334153
Q14738	9606.ENSP00000417963
Q14764	9606.ENSP00000349977
Q14839	9606.ENSP00000349508
Q14847	9606.ENSP00000325240
Q14914	9606.ENSP00000311572
Q14974	9606.ENSP00000290158
Q14980	9606.ENSP00000377298
Q14997	9606.ENSP00000384211
Q14CX7	9606.ENSP00000261745
Q15005	9606.ENSP00000263672
Q15008	9606.ENSP00000295901
Q15019	9606.ENSP00000353157
Q15020	9606.ENSP00000228284
Q15021	9606.ENSP00000325017
Q15029	9606.ENSP00000392094
Q15036	9606.ENSP00000233575
Q15046	9606.ENSP00000325448
Q15056	9606.ENSP00000265753
Q15057	9606.ENSP00000324287
Q15067	9606.ENSP00000293217
Q15075	9606.ENSP00000317955
Q15084	9606.ENSP00000272227
Q15102	9606.ENSP00000262890
Q15113	9606.ENSP00000223061
Q15121	9606.ENSP00000353660
Q15126	9606.ENSP00000357452
Q15147	9606.ENSP00000334105
Q15149	9606.ENSP00000323856
Q15165	9606.ENSP00000222572
Q15181	9606.ENSP00000362329
Q15185	9606.ENSP00000262033
Q15233	9606.ENSP00000276079
Q15286	9606.ENSP00000229340
Q15293	9606.ENSP00000054950
Q15363	9606.ENSP00000262225
Q15365	9606.ENSP00000305556
Q15366	9606.ENSP00000352438
Q15369	9606.ENSP00000284811
Q15370	9606.ENSP00000262306
Q15393	9606.ENSP00000305790
Q15404	9606.ENSP00000339521
Q15417	9606.ENSP00000359225
Q15435	9606.ENSP00000234038
Q15436	9606.ENSP00000306881
Q15437	9606.ENSP00000262544
Q15459	9606.ENSP00000215793
Q15582	9606.ENSP00000416330
Q15599	9606.ENSP00000408005
Q15631	9606.ENSP00000374332
Q15637	9606.ENSP00000366604
Q15645	9606.ENSP00000166345
Q15654	9606.ENSP00000200457
Q15691	9606.ENSP00000364721
Q15717	9606.ENSP00000385269
Q15746	9606.ENSP00000353452
Q15758	9606.ENSP00000444408
Q15785	9606.ENSP00000361900
Q15813	9606.ENSP00000355560
Q15819	9606.ENSP00000428209
Q15836	9606.ENSP00000054666
Q15843	9606.ENSP00000250495
Q15847	9606.ENSP00000361083
Q15907	9606.ENSP00000333547
Q15942	9606.ENSP00000324422
Q16181	9606.ENSP00000381992
Q16186	9606.ENSP00000253003
Q16204	9606.ENSP00000263102
Q16222	9606.ENSP00000356903
Q16363	9606.ENSP00000230538
Q16401	9606.ENSP00000210313
Q16527	9606.ENSP00000310901
Q16531	9606.ENSP00000301764
Q16543	9606.ENSP00000222005
Q16555	9606.ENSP00000309539
Q16576	9606.ENSP00000369424
Q16630	9606.ENSP00000391774
Q16643	9606.ENSP00000292385
Q16658	9606.ENSP00000371798
Q16666	9606.ENSP00000357113
Q16698	9606.ENSP00000220764
Q16719	9606.ENSP00000264170
Q16775	9606.ENSP00000380514
Q16851	9606.ENSP00000338703
Q16875	9606.ENSP00000369100
Q16881	9606.ENSP00000434516
Q27J81	9606.ENSP00000376410
Q29RF7	9606.ENSP00000303427
Q2M2I8	9606.ENSP00000386456
Q2NL82	9606.ENSP00000301364
Q2TAL8	9606.ENSP00000350094
Q32MZ4	9606.ENSP00000375857
Q32P28	9606.ENSP00000296388
Q3KQU3	9606.ENSP00000362244
Q3LXA3	9606.ENSP00000378360
Q3YEC7	9606.ENSP00000360727
Q3ZCM7	9606.ENSP00000328808
Q3ZCQ8	9606.ENSP00000318115
Q4G0F5	9606.ENSP00000281187
Q4V328	9606.ENSP00000365624
Q4VC31	9606.ENSP00000291458
Q52LJ0	9606.ENSP00000380734
Q53EL6	9606.ENSP00000280154
Q53FA7	9606.ENSP00000238721
Q53FT3	9606.ENSP00000278483
Q53GQ0	9606.ENSP00000278353
Q53GS9	9606.ENSP00000312981
Q53H82	9606.ENSP00000276590
Q53H96	9606.ENSP00000220966
Q53QV2	9606.ENSP00000378733
Q53T59	9606.ENSP00000305193
Q567U6	9606.ENSP00000365477
Q5EBL4	9606.ENSP00000366070
Q5GLZ8	9606.ENSP00000378624
Q5H9R7	9606.ENSP00000377390
Q5JTH9	9606.ENSP00000360031
Q5JTV8	9606.ENSP00000393292
Q5ST30	9606.ENSP00000441000
Q5SW79	9606.ENSP00000355500
Q5T4S7	9606.ENSP00000364403
Q5T6V5	9606.ENSP00000365522
Q5T749	9606.ENSP00000357762
Q5T8P6	9606.ENSP00000267229
Q5T9L3	9606.ENSP00000346829
Q5TZA2	9606.ENSP00000364691
Q5VW32	9606.ENSP00000343742
Q5VYK3	9606.ENSP00000259335
Q5W0V3	9606.ENSP00000358251
Q658Y4	9606.ENSP00000335082
Q66K74	9606.ENSP00000325313
Q68CZ2	9606.ENSP00000312143
Q6DD88	9606.ENSP00000381844
Q6DKJ4	9606.ENSP00000337443
Q6EEV6	9606.ENSP00000318635
Q6FI81	9606.ENSP00000377914
Q6IAN0	9606.ENSP00000378887
Q6IBS0	9606.ENSP00000303908
Q6NUK1	9606.ENSP00000457733
Q6NXE6	9606.ENSP00000376148
Q6NYC8	9606.ENSP00000274853
Q6NZI2	9606.ENSP00000349541
Q6P2Q9	9606.ENSP00000304350
Q6P9B6	9606.ENSP00000343635
Q6PGP7	9606.ENSP00000351596
Q6PKG0	9606.ENSP00000336721
Q6UB35	9606.ENSP00000356290
Q6UVK1	9606.ENSP00000312506
Q6UWP8	9606.ENSP00000430242
Q6UXN9	9606.ENSP00000296490
Q6WRI0	9606.ENSP00000282466
Q6XQN6	9606.ENSP00000401508
Q6Y7W6	9606.ENSP00000387170
Q6YHK3	9606.ENSP00000287097
Q6YN16	9606.ENSP00000381785
Q6ZN04	9606.ENSP00000329918
Q6ZQR2	9606.ENSP00000343290
Q6ZVM7	9606.ENSP00000368818
Q6ZWJ1	9606.ENSP00000365530
Q71U36	9606.ENSP00000301071
Q76M96	9606.ENSP00000206423
Q7KZF4	9606.ENSP00000346762
Q7L014	9606.ENSP00000346236
Q7L2H7	9606.ENSP00000436049
Q7L576	9606.ENSP00000324549
Q9H8S9	9606.ENSP00000379364
Q7Z2W4	9606.ENSP00000242351
Q7Z2Z2	9606.ENSP00000268206
Q7Z333	9606.ENSP00000224140
Q7Z3B4	9606.ENSP00000264883
Q7Z3E5	9606.ENSP00000258417
Q7Z406	9606.ENSP00000262269
Q7Z417	9606.ENSP00000225388
Q7Z434	9606.ENSP00000401980
Q7Z4H8	9606.ENSP00000315386
Q7Z5L9	9606.ENSP00000355568
Q7Z6Z7	9606.ENSP00000262854
Q7Z7B0	9606.ENSP00000237172
Q86TG7	9606.ENSP00000417587
Q86TU7	9606.ENSP00000327436
Q86UE4	9606.ENSP00000338235
Q86UP2	9606.ENSP00000378720
Q86UP3	9606.ENSP00000430497
Q86V21	9606.ENSP00000324842
Q86V81	9606.ENSP00000421592
Q86VP6	9606.ENSP00000299218
Q86VS8	9606.ENSP00000305699
Q86W92	9606.ENSP00000314724
Q86WQ0	9606.ENSP00000332823
Q86WR0	9606.ENSP00000348933
Q86WZ6	9606.ENSP00000321049
Q86X55	9606.ENSP00000325690
Q86XP3	9606.ENSP00000374574
Q86Y82	9606.ENSP00000363054
Q8WXI9	9606.ENSP00000357644
Q8IUD2	9606.ENSP00000354158
Q8IV20	9606.ENSP00000317619
Q8IVL5	9606.ENSP00000316881
Q8IVL6	9606.ENSP00000379951
Q8IWB7	9606.ENSP00000233055
Q8IWU6	9606.ENSP00000260128
Q8IXB1	9606.ENSP00000264065
Q8IYT4	9606.ENSP00000245121
Q8IZ07	9606.ENSP00000261739
Q8IZ69	9606.ENSP00000252136
Q8IZP0	9606.ENSP00000365312
Q8N0X7	9606.ENSP00000347314
Q8N1F7	9606.ENSP00000310668
Q8N1G4	9606.ENSP00000367498
Q8N2K0	9606.ENSP00000365725
Q8N474	9606.ENSP00000220772
Q8N6M0	9606.ENSP00000285420
Q8N6R0	9606.ENSP00000354920
Q8N6T3	9606.ENSP00000314615
Q8N806	9606.ENSP00000013070
Q8N8S7	9606.ENSP00000355809
Q8NA72	9606.ENSP00000410216
Q8NBF2	9606.ENSP00000358307
Q8NBJ4	9606.ENSP00000373363
Q8NBJ5	9606.ENSP00000252599
Q8NBJ7	9606.ENSP00000341938
Q8NBK3	9606.ENSP00000272902
Q8NBS9	9606.ENSP00000369081
Q8NBT2	9606.ENSP00000465075
Q8NC51	9606.ENSP00000360034
Q8NCM8	9606.ENSP00000381167
Q8NCW5	9606.ENSP00000357218
Q8NDC0	9606.ENSP00000378851
Q8NE71	9606.ENSP00000313603
Q8NEU8	9606.ENSP00000258530
Q8NEW0	9606.ENSP00000350278
Q8NF91	9606.ENSP00000356224
Q8NHV4	9606.ENSP00000451211
Q8NI22	9606.ENSP00000317271
Q8TAT6	9606.ENSP00000331487
Q8TBC4	9606.ENSP00000354340
Q8TBX8	9606.ENSP00000347032
Q8TC07	9606.ENSP00000448182
Q8TC12	9606.ENSP00000370750
Q8TCJ2	9606.ENSP00000295770
Q8TCU4	9606.ENSP00000264448
Q8TD55	9606.ENSP00000326706
Q8TDB6	9606.ENSP00000296161
Q8TDI0	9606.ENSP00000262450
Q8TDQ7	9606.ENSP00000295448
Q8TDX7	9606.ENSP00000356355
Q8TEA8	9606.ENSP00000366672
Q8TED1	9606.ENSP00000423822
Q8TEQ6	9606.ENSP00000285873
Q8TEX9	9606.ENSP00000346453
Q8WU90	9606.ENSP00000338788
Q8WUJ3	9606.ENSP00000220244
Q8WUM4	9606.ENSP00000411825
Q8WUP2	9606.ENSP00000416387
Q8WVJ2	9606.ENSP00000304854
Q8WW12	9606.ENSP00000265260
Q8WW33	9606.ENSP00000304185
Q8WWI1	9606.ENSP00000433352
Q8WWM7	9606.ENSP00000378917
Q8WWM9	9606.ENSP00000293230
Q8WX93	9606.ENSP00000425556
Q8WXE9	9606.ENSP00000267540
Q8WXF1	9606.ENSP00000343966
Q8WXX5	9606.ENSP00000362041
Q8WYA6	9606.ENSP00000355050
Q8WZ42	9606.ENSP00000343764
Q8WZ82	9606.ENSP00000461388
Q8WZA9	9606.ENSP00000387535
Q92499	9606.ENSP00000233084
Q92522	9606.ENSP00000329662
Q92538	9606.ENSP00000359000
Q92572	9606.ENSP00000325369
Q92575	9606.ENSP00000272638
Q92597	9606.ENSP00000319977
Q92598	9606.ENSP00000318687
Q92615	9606.ENSP00000326128
Q92616	9606.ENSP00000300648
Q92625	9606.ENSP00000353518
Q92626	9606.ENSP00000252804
Q92686	9606.ENSP00000284292
Q92688	9606.ENSP00000345848
Q92696	9606.ENSP00000216840
Q92734	9606.ENSP00000240851
Q92743	9606.ENSP00000357980
Q92747	9606.ENSP00000262942
Q92769	9606.ENSP00000430432
Q92783	9606.ENSP00000366746
Q92804	9606.ENSP00000466950
Q92820	9606.ENSP00000260118
Q92841	9606.ENSP00000380033
Q92882	9606.ENSP00000340836
Q92888	9606.ENSP00000337261
Q92890	9606.ENSP00000263202
Q92896	9606.ENSP00000205061
Q92900	9606.ENSP00000262803
Q92905	9606.ENSP00000350512
Q92917	9606.ENSP00000156109
Q92945	9606.ENSP00000381216
Q92973	9606.ENSP00000336712
Q93008	9606.ENSP00000316357
Q93009	9606.ENSP00000343535
Q93034	9606.ENSP00000376808
Q93045	9606.ENSP00000429243
Q93052	9606.ENSP00000318089
Q969E4	9606.ENSP00000243286
Q969G5	9606.ENSP00000307292
Q969H8	9606.ENSP00000262947
Q969T9	9606.ENSP00000254806
Q969V3	9606.ENSP00000246117
Q969X1	9606.ENSP00000258412
Q969X5	9606.ENSP00000377374
Q96A49	9606.ENSP00000369500
Q96AC1	9606.ENSP00000342858
Q96AE4	9606.ENSP00000359804
Q96AG4	9606.ENSP00000225972
Q96AY3	9606.ENSP00000317232
Q96B97	9606.ENSP00000380921
Q96C01	9606.ENSP00000037869
Q96C03	9606.ENSP00000379057
Q96C19	9606.ENSP00000365147
Q96C23	9606.ENSP00000272252
Q96C36	9606.ENSP00000342502
Q96C86	9606.ENSP00000263579
Q96C90	9606.ENSP00000310117
Q96CG8	9606.ENSP00000330523
Q96CS3	9606.ENSP00000261942
Q96CV9	9606.ENSP00000263036
Q96CW1	9606.ENSP00000292807
Q96CW5	9606.ENSP00000261965
Q96D46	9606.ENSP00000307525
Q96DG6	9606.ENSP00000296658
Q96DH6	9606.ENSP00000284073
Q96EK5	9606.ENSP00000354848
Q96EK6	9606.ENSP00000216410
Q96EM0	9606.ENSP00000247194
Q96EP5	9606.ENSP00000233078
Q96EY5	9606.ENSP00000324810
Q96FJ2	9606.ENSP00000240343
Q96FQ6	9606.ENSP00000357692
Q96FV2	9606.ENSP00000290216
Q96FW1	9606.ENSP00000402551
Q96G03	9606.ENSP00000371393
Q96GA3	9606.ENSP00000356548
Q96GD0	9606.ENSP00000215904
Q96GU1	9606.ENSP00000289619
Q96HC4	9606.ENSP00000321746
Q96HE7	9606.ENSP00000379042
Q96HJ9	9606.ENSP00000297534
Q96I99	9606.ENSP00000419325
Q96IJ6	9606.ENSP00000315925
Q96IU4	9606.ENSP00000354841
Q96IX5	9606.ENSP00000311245
Q96IZ0	9606.ENSP00000328088
Q96JB1	9606.ENSP00000333363
Q96JB6	9606.ENSP00000260702
Q96JC9	9606.ENSP00000380054
Q96JG6	9606.ENSP00000307666
Q96JY6	9606.ENSP00000312634
Q96K17	9606.ENSP00000360664
Q96KA5	9606.ENSP00000313854
Q96KB5	9606.ENSP00000301905
Q96KP4	9606.ENSP00000325548
Q96N66	9606.ENSP00000245615
Q96P70	9606.ENSP00000354742
Q96PU5	9606.ENSP00000383199
Q96PZ0	9606.ENSP00000348722
Q96QK1	9606.ENSP00000299138
Q96QR8	9606.ENSP00000379051
Q96RE7	9606.ENSP00000292431
Q96RF0	9606.ENSP00000317332
Q96RS6	9606.ENSP00000239690
Q96S66	9606.ENSP00000349456
Q96S82	9606.ENSP00000354883
Q96T76	9606.ENSP00000359818
Q96TA1	9606.ENSP00000362409
Q99426	9606.ENSP00000221855
Q99436	9606.ENSP00000259457
Q99439	9606.ENSP00000263097
Q99459	9606.ENSP00000360532
Q99460	9606.ENSP00000309474
Q99471	9606.ENSP00000334188
Q99497	9606.ENSP00000340278
Q99536	9606.ENSP00000347872
Q99538	9606.ENSP00000334052
Q99541	9606.ENSP00000276914
Q99575	9606.ENSP00000339529
Q99584	9606.ENSP00000344822
Q99598	9606.ENSP00000355599
Q99613	9606.ENSP00000332604
Q99614	9606.ENSP00000231238
Q99615	9606.ENSP00000406463
Q99623	9606.ENSP00000441875
Q99627	9606.ENSP00000346340
Q99714	9606.ENSP00000168216
Q99715	9606.ENSP00000325146
Q99729	9606.ENSP00000351108
Q99733	9606.ENSP00000369915
Q99798	9606.ENSP00000216254
Q99816	9606.ENSP00000251968
Q99829	9606.ENSP00000317257
Q99832	9606.ENSP00000258091
Q99873	9606.ENSP00000406162
